Trigger Time,NPRI_1_2,NPRI_3_6,NewTSS,\Labworks Data\1920-NPRIC 1-3 Eff|TSS_FC24,\Labworks Data\1910-NPRIC 4-6 Eff|TSS_FC24
3/14/2019 8:00:00 AM,True,True,89,87,91
3/15/2019 8:00:00 AM,True,True,81.5,87,76
3/16/2019 8:00:00 AM,True,True,81.5,86,77
3/17/2019 8:00:00 AM,True,True,79.5,80,79
3/18/2019 8:00:00 AM,True,True,81,80,82
3/19/2019 8:00:00 AM,True,True,86.5,90,83
3/20/2019 8:00:00 AM,True,True,83,80,86
3/21/2019 8:00:00 AM,True,True,82.5,85,80
3/22/2019 8:00:00 AM,True,True,65.5,79,52
3/23/2019 8:00:00 AM,True,True,70,72,68
3/24/2019 8:00:00 AM,True,True,84,82,86
3/25/2019 8:00:00 AM,True,True,72.5,82,63
3/26/2019 8:00:00 AM,True,True,82.5,85,80
3/27/2019 8:00:00 AM,True,True,81,76,86
3/28/2019 8:00:00 AM,True,True,76.5,80,73
3/29/2019 8:00:00 AM,True,True,85.5,89,82
3/30/2019 8:00:00 AM,True,True,88.5,88,89
3/31/2019 8:00:00 AM,True,True,85,88,82
4/1/2019 8:00:00 AM,True,True,74.5,78,71
4/2/2019 8:00:00 AM,True,True,82.5,89,76
4/3/2019 8:00:00 AM,True,True,87.5,88,87
4/4/2019 8:00:00 AM,True,True,82,84,80
4/5/2019 8:00:00 AM,True,True,74,78,70
4/6/2019 8:00:00 AM,True,True,68,72,64
4/7/2019 8:00:00 AM,True,True,81,82,80
4/8/2019 8:00:00 AM,True,True,82,80,84
4/9/2019 8:00:00 AM,True,True,86.5,80,93
4/12/2019 8:00:00 AM,False,True,78,80,78
4/13/2019 8:00:00 AM,False,True,86,80,86
4/14/2019 8:00:00 AM,False,True,86,80,86
4/15/2019 8:00:00 AM,True,True,99,112,86
4/16/2019 8:00:00 AM,True,False,96,96,86
4/17/2019 8:00:00 AM,True,True,77.5,68,87
4/18/2019 8:00:00 AM,True,True,76.5,74,79
4/19/2019 8:00:00 AM,True,True,72,75,69
4/20/2019 8:00:00 AM,True,True,85,85,85
